名称,经度,纬度,外卖月售,品牌,吸引力系数,商圈
奈雪的茶(宁波天一广场),121.554918,29.869261,5000,奈雪,,宁波天一广场
蜜雪冰城(天一广场店),121.554812,29.868991,2000,蜜雪冰城,,宁波天一广场
MoreYogurt茉酸奶(宁波天一广场店),121.555221,29.869131,3000,茉酸奶,,宁波天一广场
麦记牛奶(宁波天一广场店),121.55558,29.869596,2000,麦记牛奶,,宁波天一广场
喜茶(宁波天一悦沢店),121.555887,29.86974,5000,喜茶,,宁波天一广场
茉莉奶白(宁波天一广场店),121.55206,29.870216,8000,茉莉奶白,,宁波天一广场
LINLEE·手打柠檬茶(海曙天一广场2店),121.551908,29.869822,1900,LINLEE,,宁波天一广场
LINLEE·手打柠檬茶(海曙天一广场店),121.552375,29.870825,500,LINLEE,,宁波天一广场
茶百道(宁波海曙东鼓道店),121.554173,29.871582,3000,茶百道,,宁波天一广场
LELECHA乐乐茶(天一店),121.552344,29.867962,5000,乐乐茶,,宁波天一广场
蜜雪冰城(东鼓道店),121.553247,29.871692,1800,蜜雪冰城,,宁波天一广场
茶百道(海曙开明街店),121.551424,29.869688,2000,茶百道,,宁波天一广场
沪上阿姨·精选茶饮(宁波海曙天一大梁街店),121.551269,29.869854,6000,沪上阿姨,,宁波天一广场
蜜雪冰城(亚细亚24小时营业店),121.55226,29.867434,3000,蜜雪冰城,,宁波天一广场
春莱chunlai泰式奶茶(D-G Line 东鼓道店),121.552766,29.871821,5000,春莱,,宁波天一广场
茶百道(宁波天一广场店),121.557016,29.868224,6000,茶百道,,宁波天一广场
柠季·手打柠檬茶(宁波东鼓道店),121.552789,29.871879,1900,柠季,,宁波天一广场
贡茶gongcha888(新街店),121.550684,29.869007,2200,贡茶,,宁波天一广场
CoCo都可(大来店),121.552019,29.866701,1500,CoCo,,宁波天一广场
CoCo都可(莱迪数码时尚广场店),121.55101,29.867274,1200,CoCo,,宁波天一广场
LINLEE·手打柠檬茶(海曙东门银泰店),121.558675,29.869275,1000,LINLEE,,宁波天一广场
南霆茶序(城隍庙店),121.551345,29.866484,2000,个体/杂牌,,宁波天一广场
宝圆圆·现炒珍珠奶茶(宁波城隍庙店),121.55036,29.867126,1200,宝圆圆,,宁波天一广场
茶百道(城隍庙店),121.55065,29.866126,600,茶百道,,宁波天一广场
城隍庙店(蜜雪冰城),121.550682,29.865712,1500,蜜雪冰城,,宁波天一广场
Blue Gaga饮品店(开明坊步行街店),121.552855,29.863588,45,个体/杂牌,,宁波天一广场
喜茶(宁波1844广场店),121.553255,29.875406,1500,喜茶,,宁波天一广场
YES Lemon就是柠·手打柠檬茶(in77店),120.16331,30.252845,1900,就是柠,,杭州湖滨in77
"蜜雪冰城(仁和路店,位置处于延安路215号)",120.164112,30.252484,4000,蜜雪冰城,,杭州湖滨in77
霸王茶姬(浙江杭州东坡路店),120.163073,30.25294,4000,霸王茶姬,,杭州湖滨in77
VQ鲜榨果汁(杭州湖滨in77店),120.164675,30.253375,700,VQ鲜榨果汁,,杭州湖滨in77
蜜雪冰城(西湖景区湖滨88店),120.162846,30.254084,1500,蜜雪冰城,,杭州湖滨in77
蜜雪冰城(平海路67号),120.165153,30.253946,2000,蜜雪冰城,,杭州湖滨in77
李若桃·手作酸奶铺(杭州湖滨in77店),120.163629,30.254508,9000,李若桃,,杭州湖滨in77
CHAGEE霸王茶姬(杭州湖滨in77C3区店),120.164908,30.251307,5000,霸王茶姬,,杭州湖滨in77
茉莉奶白(杭州湖滨in77B区店),120.16351,30.254731,7000,茉莉奶白,,杭州湖滨in77
喜茶(杭州湖滨in77E区店),120.163928,30.25088,3000,喜茶,,杭州湖滨in77
LELECHA乐乐茶(杭州湖滨in77店),120.164759,30.251068,3000,乐乐茶,,杭州湖滨in77
CoCo都可(工联大厦店),120.163751,30.254809,2000,CoCo,,杭州湖滨in77
茉莉奶白(杭州湖滨88店),120.16219,30.254289,5000,茉莉奶白,,杭州湖滨in77
麒麟大口茶(杭州首店),120.164802,30.251019,5000,麒麟大口茶,,杭州湖滨in77
裕莲茶楼(杭州湖滨in77C3区店),120.164764,30.250927,4000,裕莲茶楼,,杭州湖滨in77
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),120.163792,30.25501,20000,爷爷不泡茶,,杭州湖滨in77
喜茶(杭州湖滨in77B区店),120.16373,30.255087,7000,喜茶,,杭州湖滨in77
闲吉·好茶自然香(杭州湖滨in77B区店),120.163869,30.255096,5000,闲吉,,杭州湖滨in77
裕莲茶楼(杭州湖滨in77B区店),120.163452,30.255186,5000,裕莲茶楼,,杭州湖滨in77
沪上阿姨·精选茶饮(杭州工联CC店),120.164614,30.255089,4000,沪上阿姨,,杭州湖滨in77
LINLEE·手打柠檬茶(湖滨工联CC店),120.164598,30.255239,1500,LINLEE,,杭州湖滨in77
CHAGEE霸王茶姬(上城工联CC店),120.164475,30.255275,6000,霸王茶姬,,杭州湖滨in77
本就茶饮,120.165293,30.250675,2000,个体/杂牌,,杭州湖滨in77
周四晚不止碰到茶(湖滨店),120.163177,30.255428,20000,周四晚,,杭州湖滨in77
